Ticker,close,date,high,low,open,volume
HDFCLIFE,575.0,2024-01-30,583.6,571.55,583.0,5895638
HDFCLIFE,576.6,2024-01-31,578.0,571.3,573.5,4068280
HDFCLIFE,587.1,2024-02-01,591.4,567.2,577.2,8911872
HDFCLIFE,578.8,2024-02-02,589.95,576.5,589.95,3006965
HDFCLIFE,563.35,2024-02-05,581.95,561.55,578.8,3750294
HDFCLIFE,592.75,2024-02-06,595.05,562.25,564.0,15915028
HDFCLIFE,605.15,2024-02-07,614.0,596.0,597.0,7560296
HDFCLIFE,591.7,2024-02-08,616.05,590.1,605.15,7782663
HDFCLIFE,584.0,2024-02-09,594.15,582.25,591.7,2453771
HDFCLIFE,577.2,2024-02-12,586.5,572.4,584.0,2799522
HDFCLIFE,589.55,2024-02-13,594.0,574.7,577.25,5011128
HDFCLIFE,585.35,2024-02-14,586.95,578.4,582.4,1572158
HDFCLIFE,585.1,2024-02-15,589.35,582.0,586.85,1737411
HDFCLIFE,592.45,2024-02-16,594.0,583.7,588.5,2973324
HDFCLIFE,585.2,2024-02-19,594.3,584.4,594.3,2785107
HDFCLIFE,587.95,2024-02-20,589.5,576.25,580.2,3523966
HDFCLIFE,577.45,2024-02-21,591.25,574.5,587.95,3321288
HDFCLIFE,574.65,2024-02-22,579.4,567.05,578.0,4195869
HDFCLIFE,580.7,2024-02-23,583.35,575.75,577.2,2561028
HDFCLIFE,576.35,2024-02-26,580.95,567.25,568.75,4199991
HDFCLIFE,581.6,2024-02-27,592.0,572.85,576.05,6321068
HDFCLIFE,580.6,2024-02-28,590.9,578.15,582.0,3434747
HDFCLIFE,582.0,2024-02-29,585.9,575.55,581.0,2750947
HDFCLIFE,589.95,2024-03-01,596.8,583.0,584.9,3460443
HDFCLIFE,592.3,2024-03-02,597.0,591.05,594.45,171935
HDFCLIFE,610.3,2024-03-04,620.5,587.6,595.0,7272987
HDFCLIFE,607.7,2024-03-05,615.6,603.75,611.8,4342310
HDFCLIFE,613.95,2024-03-06,618.1,604.7,611.25,4896598
HDFCLIFE,621.95,2024-03-07,624.15,611.55,611.55,3682063
HDFCLIFE,620.85,2024-03-11,629.0,618.9,625.0,3777242
HDFCLIFE,621.55,2024-03-12,629.8,615.05,618.25,4975736
HDFCLIFE,610.05,2024-03-13,626.7,604.05,623.25,2840155
HDFCLIFE,622.25,2024-03-14,624.5,598.2,603.0,3750622
HDFCLIFE,632.35,2024-03-15,634.8,611.3,620.0,4896049
HDFCLIFE,634.1,2024-03-18,636.55,628.25,634.95,2911589
HDFCLIFE,632.5,2024-03-19,636.5,623.35,634.0,3861068
HDFCLIFE,626.4,2024-03-20,632.5,619.4,630.0,1712459
HDFCLIFE,622.25,2024-03-21,639.0,620.0,629.0,7197320
HDFCLIFE,623.85,2024-03-22,628.65,616.0,623.9,3636733
HDFCLIFE,626.9,2024-03-26,642.8,625.5,638.85,13822598
HDFCLIFE,626.35,2024-03-27,638.4,624.05,627.5,13848953
HDFCLIFE,633.35,2024-03-28,638.75,626.35,626.35,6878964
HDFCLIFE,634.75,2024-04-01,638.0,628.0,638.0,3874744
HDFCLIFE,631.9,2024-04-02,641.65,631.1,631.1,5179918
HDFCLIFE,624.1,2024-04-03,630.0,620.4,629.85,3822465
HDFCLIFE,622.4,2024-04-04,626.5,618.1,625.0,3858229
HDFCLIFE,629.4,2024-04-05,630.45,616.3,621.0,3860995
HDFCLIFE,634.6,2024-04-08,635.9,626.55,630.0,3403360
HDFCLIFE,633.95,2024-04-09,639.15,632.65,639.0,2873703
HDFCLIFE,621.5,2024-04-10,637.1,620.0,636.0,6753666
HDFCLIFE,618.5,2024-04-12,624.0,616.25,621.0,5081775
HDFCLIFE,612.95,2024-04-15,616.5,604.1,610.05,2594888
HDFCLIFE,604.6,2024-04-16,611.1,600.6,609.05,4970256
HDFCLIFE,605.65,2024-04-18,624.0,604.15,618.0,11984298
HDFCLIFE,601.55,2024-04-19,604.4,581.1,600.0,10243493
HDFCLIFE,605.95,2024-04-22,608.85,598.1,601.85,3076888
HDFCLIFE,601.15,2024-04-23,609.15,598.0,606.05,4527775
HDFCLIFE,594.2,2024-04-24,601.1,593.0,600.05,4095087
HDFCLIFE,594.7,2024-04-25,596.4,585.6,595.45,6150372
HDFCLIFE,587.85,2024-04-26,603.4,587.0,597.0,3094364
HDFCLIFE,575.1,2024-04-29,591.95,571.0,590.0,8879207
HDFCLIFE,583.65,2024-04-30,588.5,576.05,576.55,9926485
HDFCLIFE,576.35,2024-05-02,586.55,573.4,584.3,8292342
HDFCLIFE,565.9,2024-05-03,581.8,565.25,581.8,8574215
HDFCLIFE,555.05,2024-05-06,569.9,550.2,569.9,8759027
HDFCLIFE,552.35,2024-05-07,561.95,549.6,559.5,7783593
HDFCLIFE,550.45,2024-05-08,553.95,548.0,552.1,6715043
